Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Receipt of PayNow,Chrome 75.0.3770.100,,2019-07-04 18:15:53,2019-07-04 18:19:01,3m - 7.857s,FAILED
,,,,,,
Test Cases/Login,Chrome 75.0.3770.100,,2019-07-04 18:15:54,2019-07-04 18:17:27,1m - 33.268s,PASSED
openBrowser(toString()),Chrome 75.0.3770.100,,2019-07-04 18:15:54,2019-07-04 18:16:07,12.621s,PASSED
"navigateToUrl(""http://18.138.12.239/"")",Chrome 75.0.3770.100,,2019-07-04 18:16:07,2019-07-04 18:16:25,17.716s,PASSED
maximizeWindow(),Chrome 75.0.3770.100,,2019-07-04 18:16:25,2019-07-04 18:16:26,1.167s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-07-04 18:16:26,2019-07-04 18:16:36,10.035s,PASSED
"check(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/span_concat(Don  t show this popup again)_check""))",Chrome 75.0.3770.100,,2019-07-04 18:16:36,2019-07-04 18:16:36,0.155s,PASSED
"click(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/button_Close""))",Chrome 75.0.3770.100,,2019-07-04 18:16:36,2019-07-04 18:16:36,0.127s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-07-04 18:16:36,2019-07-04 18:16:46,10.006s,PASSED
"click(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/span_Start shopping now _login-icon""))",Chrome 75.0.3770.100,,2019-07-04 18:16:46,2019-07-04 18:16:46,0.089s,PASSED
"click(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/a_Sign In""))",Chrome 75.0.3770.100,,2019-07-04 18:16:46,2019-07-04 18:16:49,3.176s,PASSED
"setText(findTestObject(""Object Repository/add to cart/Page_Sign In/input_Sign In_loginusername""), ""himangi.tankha@ranosys.com"")",Chrome 75.0.3770.100,,2019-07-04 18:16:49,2019-07-04 18:16:50,0.594s,PASSED
"setEncryptedText(findTestObject(""Object Repository/add to cart/Page_Sign In/input_Sign In_loginpassword""), ""8SQVv/p9jVTHLrggi8kCzw=="")",Chrome 75.0.3770.100,,2019-07-04 18:16:50,2019-07-04 18:16:50,0.217s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-07-04 18:16:50,2019-07-04 18:16:55,5.005s,PASSED
"click(findTestObject(""Object Repository/add to cart/Page_Sign In/button_Sign In""))",Chrome 75.0.3770.100,,2019-07-04 18:16:55,2019-07-04 18:17:15,19.506s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-07-04 18:17:15,2019-07-04 18:17:25,10.003s,PASSED
,,,,,,
Test Cases/Add Receipt PayNow,Chrome 75.0.3770.100,,2019-07-04 18:17:27,2019-07-04 18:19:00,1m - 33.476s,FAILED
"click(findTestObject(""My Order/Page_My Orders/img""))",Chrome 75.0.3770.100,,2019-07-04 18:17:27,2019-07-04 18:17:30,2.910s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-07-04 18:17:30,2019-07-04 18:17:40,10.009s,PASSED
"click(findTestObject(""Add Receipt/Page_Welcome to The Thread Theory  The Thread Theory/span_Start shopping now _login-b-icon""))",Chrome 75.0.3770.100,,2019-07-04 18:17:40,2019-07-04 18:17:40,0.142s,PASSED
"click(findTestObject(""Add Receipt/Page_Welcome to The Thread Theory  The Thread Theory/li_My Orders""))",Chrome 75.0.3770.100,,2019-07-04 18:17:40,2019-07-04 18:17:43,2.853s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-07-04 18:17:43,2019-07-04 18:17:48,5.006s,PASSED
"click(findTestObject(""Add Receipt/Page_My Orders/span_View Order""))",Chrome 75.0.3770.100,,2019-07-04 18:17:48,2019-07-04 18:18:13,24.713s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-07-04 18:18:13,2019-07-04 18:18:18,5.003s,PASSED
"click(findTestObject(""Add Receipt/Page_Order  000000052/span_Add Receipt""))",Chrome 75.0.3770.100,,2019-07-04 18:18:18,2019-07-04 18:18:22,3.771s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-07-04 18:18:22,2019-07-04 18:18:27,5.009s,PASSED
"click(findTestObject(""Add Receipt/Page_Payment Receipt/input__tran_datetime""))",Chrome 75.0.3770.100,,2019-07-04 18:18:27,2019-07-04 18:18:58,31.578s,FAILED
