Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Buy Gift Card,Chrome 75.0.3770.100,,2019-06-27 12:18:47,2019-06-27 12:21:36,2m - 48.943s,ERROR
,,,,,,
Test Cases/Add Gift Card,Chrome 75.0.3770.100,,2019-06-27 12:18:47,2019-06-27 12:20:45,1m - 58.467s,PASSED
openBrowser(toString()),Chrome 75.0.3770.100,,2019-06-27 12:18:47,2019-06-27 12:18:54,6.224s,PASSED
driver = getWebDriver(),Chrome 75.0.3770.100,,2019-06-27 12:18:54,2019-06-27 12:18:54,0.012s,PASSED
"baseUrl = ""http://18.138.12.239/""",Chrome 75.0.3770.100,,2019-06-27 12:18:54,2019-06-27 12:18:54,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 75.0.3770.100,,2019-06-27 12:18:54,2019-06-27 12:18:54,0.147s,PASSED
"selenium.open(""http://18.138.12.239/"")",Chrome 75.0.3770.100,,2019-06-27 12:18:54,2019-06-27 12:19:07,12.656s,PASSED
maximizeWindow(),Chrome 75.0.3770.100,,2019-06-27 12:19:07,2019-06-27 12:19:08,1.158s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-06-27 12:19:08,2019-06-27 12:19:18,10.031s,PASSED
"check(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/span_concat(Don  t show this popup again)_check""))",Chrome 75.0.3770.100,,2019-06-27 12:19:18,2019-06-27 12:19:18,0.156s,PASSED
"click(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/button_Close""))",Chrome 75.0.3770.100,,2019-06-27 12:19:18,2019-06-27 12:19:18,0.085s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-06-27 12:19:18,2019-06-27 12:19:28,10.006s,PASSED
"click(findTestObject(""gift card/Page_My Account/a_Give a Gift Card""))",Chrome 75.0.3770.100,,2019-06-27 12:19:28,2019-06-27 12:19:40,12.038s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-06-27 12:19:40,2019-06-27 12:19:50,10.005s,PASSED
"selenium.click(""id=product-collection-image-198"")",Chrome 75.0.3770.100,,2019-06-27 12:19:50,2019-06-27 12:19:59,8.601s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-06-27 12:19:59,2019-06-27 12:20:04,5.003s,PASSED
"selenium.click(""id=am_giftcard_amount"")",Chrome 75.0.3770.100,,2019-06-27 12:20:04,2019-06-27 12:20:04,0.144s,PASSED
"selenium.select(""id=am_giftcard_amount"", ""label=SGD 15.00"")",Chrome 75.0.3770.100,,2019-06-27 12:20:04,2019-06-27 12:20:04,0.101s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Choose card Image'])[1]/following::img[1]"")",Chrome 75.0.3770.100,,2019-06-27 12:20:04,2019-06-27 12:20:04,0.072s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-06-27 12:20:04,2019-06-27 12:20:09,5.003s,PASSED
"selenium.click(""id=am_giftcard_sender_name"")",Chrome 75.0.3770.100,,2019-06-27 12:20:09,2019-06-27 12:20:09,0.108s,PASSED
"selenium.type(""id=am_giftcard_sender_name"", ""Himangi"")",Chrome 75.0.3770.100,,2019-06-27 12:20:09,2019-06-27 12:20:09,0.053s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-06-27 12:20:09,2019-06-27 12:20:14,5.004s,PASSED
"selenium.click(""id=am_giftcard_sender_email"")",Chrome 75.0.3770.100,,2019-06-27 12:20:14,2019-06-27 12:20:14,0.092s,PASSED
"selenium.type(""id=am_giftcard_sender_email"", ""himangi.tankha@ranosys.com"")",Chrome 75.0.3770.100,,2019-06-27 12:20:14,2019-06-27 12:20:14,0.064s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-06-27 12:20:14,2019-06-27 12:20:19,5.003s,PASSED
"selenium.click(""id=am_giftcard_recipient_name"")",Chrome 75.0.3770.100,,2019-06-27 12:20:19,2019-06-27 12:20:19,0.205s,PASSED
"selenium.type(""id=am_giftcard_recipient_name"", ""Shubham"")",Chrome 75.0.3770.100,,2019-06-27 12:20:19,2019-06-27 12:20:20,0.070s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-06-27 12:20:20,2019-06-27 12:20:25,5.004s,PASSED
"selenium.click(""id=am_giftcard_recipient_email"")",Chrome 75.0.3770.100,,2019-06-27 12:20:25,2019-06-27 12:20:25,0.107s,PASSED
