Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Registar and Checkout,Chrome 74.0.3729.169,,2019-06-20 10:31:50,2019-06-20 10:33:25,1m - 35.100s,FAILED
,,,,,,
Test Cases/Registration,Chrome 74.0.3729.169,,2019-06-20 10:31:50,2019-06-20 10:32:30,40.039s,FAILED
openBrowser(toString()),Chrome 74.0.3729.169,,2019-06-20 10:31:51,2019-06-20 10:31:57,6.237s,PASSED
"navigateToUrl(""http://18.138.12.239/"")",Chrome 74.0.3729.169,,2019-06-20 10:31:57,2019-06-20 10:32:06,8.670s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-06-20 10:32:06,2019-06-20 10:32:07,1.154s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-20 10:32:07,2019-06-20 10:32:17,10.032s,PASSED
"check(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/span_concat(Don  t show this popup again)_check""))",Chrome 74.0.3729.169,,2019-06-20 10:32:17,2019-06-20 10:32:17,0.143s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_Welcome to The Thread Theory  The Thread Theory/button_Close""))",Chrome 74.0.3729.169,,2019-06-20 10:32:17,2019-06-20 10:32:17,0.119s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-20 10:32:17,2019-06-20 10:32:22,5.004s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_Welcome to The Thread Theory  The Thread Theory/span_Start shopping now _login-icon""))",Chrome 74.0.3729.169,,2019-06-20 10:32:22,2019-06-20 10:32:22,0.116s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_Welcome to The Thread Theory  The Thread Theory/a_Create Account""))",Chrome 74.0.3729.169,,2019-06-20 10:32:22,2019-06-20 10:32:25,2.795s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-20 10:32:25,2019-06-20 10:32:30,5.003s,PASSED
"selectOptionByValue(findTestObject(""Page_Create New Customer Account/select_Mr                                                                                                                Ms""), ""Miss"", true)",Chrome 74.0.3729.169,,2019-06-20 10:32:30,2019-06-20 10:32:30,0.426s,FAILED
,,,,,,
Test Cases/Register and Checkout,Chrome 74.0.3729.169,,2019-06-20 10:32:30,2019-06-20 10:33:19,48.667s,FAILED
delay(10),Chrome 74.0.3729.169,,2019-06-20 10:32:31,2019-06-20 10:32:41,10.006s,PASSED
"mouseOver(findTestObject(""add to cart/menu_cart_mini/Page_Work Wear - DRESSES - SHOP/span_SHOP""))",Chrome 74.0.3729.169,,2019-06-20 10:32:41,2019-06-20 10:32:41,0.112s,PASSED
"click(findTestObject(""add to cart/menu_cart_mini/Page_Work Wear - DRESSES - SHOP/span_Work Wear""))",Chrome 74.0.3729.169,,2019-06-20 10:32:41,2019-06-20 10:32:42,1.357s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-20 10:32:42,2019-06-20 10:32:47,5.005s,PASSED
"scrollToElement(findTestObject(""Filter_Sort/Page_Work Wear - DRESSES - SHOP/img_Quick View_imgage-additional""), 5)",Chrome 74.0.3729.169,,2019-06-20 10:32:47,2019-06-20 10:33:19,31.941s,FAILED
,,,,,,
Test Cases/Add Receipt ATM,Chrome 74.0.3729.169,,2019-06-20 10:33:19,2019-06-20 10:33:25,5.478s,FAILED
"click(findTestObject(""My Order/Page_My Orders/img""))",Chrome 74.0.3729.169,,2019-06-20 10:33:19,2019-06-20 10:33:25,5.257s,FAILED
